protocol,covariance_strategy,score_scale,method,feedback,alpha,target_coverage,trajectory_mean_coverage,trajectory_std_coverage,minimum_trajectory_coverage,geometric_mean_median_volume_m3,geometric_mean_p90_volume_m3,rolling_coverage_mae_100,longest_miss_streak,folds,sample_pooled_coverage,coverage_shortfall
cross_environment,diagonal_openvins_fit_bias,loglinear_covariance,ACI,calibration_only,0.1,0.9,0.8940821738708858,0.0491903816986519,0.7535107169253511,4.1298128449803375,25.3637520605145,0.07067268332699751,31.181818181818183,11,0.8889524647887324,0.011047535211267667
cross_environment,correlation_shrink_0.25_fit_bias,constant,AgACI-EWA,calibration_only,0.1,0.9,0.8896226367163208,0.037072853778804045,0.8009661835748793,3.99001866531549,19.025364362667638,0.04997569371907184,12.545454545454545,11,0.8883802816901408,0.011619718309859195
cross_environment,standardized_correlation,constant,ACI,recent_300,0.1,0.9,0.8897141364567148,0.012592918089350995,0.8598726114649682,6.364539663456385,38.470641693470284,0.09673576227502158,30.0,11,0.8881161971830986,0.011883802816901379
cross_environment,correlation_shrink_0.50,loglinear_covariance_time,ACI,calibration_only,0.1,0.9,0.8891894378852968,0.041337344012033796,0.8006644518272426,3.2502119863694716,31.312924189537192,0.08595322919388496,20.90909090909091,11,0.8878521126760563,0.012147887323943674
cross_environment,diagonal_openvins_fit_bias,loglinear_covariance_time,ACI,calibration_only,0.1,0.9,0.892474939122131,0.05076881002529526,0.746119733924612,4.160973341264091,25.812890144639706,0.07175132018496412,31.363636363636363,11,0.8873239436619719,0.012676056338028152
cross_environment,standardized_correlation,loglinear_covariance,AgACI-EWA,calibration_only,0.1,0.9,0.8952676023397739,0.09000678969860026,0.6282335550628233,3.6408558381471394,15.048434681023533,0.06853722444537622,29.272727272727273,11,0.886487676056338,0.013512323943661975
cross_environment,standardized_correlation,loglinear_covariance_time,AgACI-EWA,recent_300,0.1,0.9,0.8873912435512136,0.017394835247836842,0.8555062823355506,4.120236928153869,20.59012928995425,0.06125312283731655,20.0,11,0.8851232394366197,0.014876760563380276
cross_environment,diagonal_openvins,loglinear_covariance,AgACI-EWA,calibration_only,0.1,0.9,0.8879775041536021,0.05355182111232738,0.7487065779748706,1.5292842576027497,14.69046985351456,0.06574127175322489,29.09090909090909,11,0.8847271126760563,0.015272887323943718
cross_environment,standardized_correlation,loglinear_covariance,AgACI-EWA,recent_300,0.1,0.9,0.8862230691467432,0.019242737877294174,0.8540280857354028,4.148880747512324,21.770132713198468,0.06434189690694132,20.09090909090909,11,0.8837147887323944,0.016285211267605626
cross_environment,diagonal_openvins,loglinear_covariance_time,AgACI-EWA,calibration_only,0.1,0.9,0.8872164434544775,0.0537136391376813,0.745750184774575,1.632392492267492,15.735458156955069,0.0682927680390404,30.181818181818183,11,0.883362676056338,0.01663732394366202
